Rank,Name,Location,About,Link
65,Tokyo Institute of Technology,Japan,"Tokyo Tech
’s three campuses — two in Japan’s clean, vibrant capital, and one in adjacent Yokohama — provide a comfortable setting for a truly unique study experience. The long-cherished practical science and engineering education for which the Institute is known allows all students to experience the pleasures of research from an early stage. Findings from research institutes such as
ELSI
are fed back into curricula, and as laboratory members, students are in close contact with the world’s top researchers. The Institute’s hands-on approach is reflected in graduate employability rankings, in which Tokyo Tech consistently excels.
Tokyo Tech provides full degree programs in English at all levels. The
Global Scientists and Engineers Program (GSEP)
is a transdisciplinary Bachelor of Engineering program, while the
International Graduate Programs (IGP)
cater to those hoping to pursue more advanced science or engineering degrees in Japan. Various
scholarships
are available.
Tokyo Tech 2030 statement
More about Tokyo Tech
Free online courses from TokyoTechX
Subscribe to the Tokyo Tech Bulletin
Library
Tokyo Tech operates
library
branches on Ookayama and Suzukakedai Campuses, which house approximately 800,000 books and one of the largest international collections of science and engineering periodicals in the country. Both facilities include roomy individual and group study spaces, reading spaces, and lecture and meeting rooms. The Ookayama facility, a triangular glass structure that dominates the landscape, will connect directly to the new
international exchange hub
, to be completed in 2020.
Makerspaces
Tokyo Tech students currently enjoy the freedom to create at
two makerspaces
: one on Ookayama Campus, the other on Suzukakedai Campus. Both facilities provide access to the latest cutting, shaping, drilling, printing, and other experimental tools and machines.
Supercomputer TSUBAME
Tokyo Tech’s
Global Scientific Information and Computing Center
operates TSUBAME, the world’s greenest supercomputer, which is available for use by all Tokyo Tech students and researchers.
Environmental Energy Innovation Building
As its name suggests, the
EEI Building
is Tokyo Tech’s flagship hub for research in energy technology and system design. Covered by over 4,500 solar panels, this building produces roughly the amount of energy it consumes. Its research offices and experimental laboratories alternate floors so that researchers and students can easily move between both.
Sports facilities
The Ookayama Campus Sports Center includes a large outdoor sports ground, an indoor sports arena, a heated swimming pool, a martial arts hall, and a weight training room. Tennis courts, Japanese archery courses, and other activity areas are also spread around campus.
Tech Tech Nursery
Tokyo Tech established
Tech Tech Nursery
in 2017 to increase support for students and researchers with young children. Located on Ookayama Campus, the nursery contributes to the local community while welcoming parents from around the world to the Institute.
Convenience & safety
Consistently ranked one of the safest cities in the world, Tokyo is an ideal place to live and study. The megacity’s outstanding transportation system connects Tokyo Tech’s campuses with all major residential areas and activity hubs, and provides easy access to several airports and rural Japan when you need a quick escape from the hustle and bustle.
Accommodation
Over a dozen dormitories in the Tokyo metropolitan area provide accommodation for Tokyo Tech students. In addition, shared houses with other Japanese and international tenants are available all over the city. For more information, contact
Tokyo Tech Housing Support
.
Food
Tokyo Tech’s on-campus cafeterias provide students and researchers with healthy, tasty, affordable meals that satisfy varying requirements. Both campuses also house co-ops that can feed those who need something on the go. Ookayama Campus is surrounded by local eateries that cater to all tastes, and most Tokyo neighborhoods have a wide spectrum of restaurants and 24-hour shops to ensure that you never go hungry.
Student clubs
Tokyo Tech has a vast range of student clubs that organize social, cultural, and other extracurricular activities both on and off campus. These activities are showcased annually at the Tokyo Tech Festival, an event that attracts roughly 50,000 visitors each year. Many new international students connect by first joining the
Tokyo Tech International Student Association
or the
Student Association for Global Exchange
.
Entertainment
Tokyo is second to none when it comes to entertainment. The city and its surroundings are a vast expanse of parks, mountains, beaches, museums, concert halls, sports stadiums, restaurants, clubs, and other entertainment venues and places of interest. Tokyo Tech’s central location ensures that students are never more than a short train ride away from their destination.
Read about experiences shared by Tokyo Tech’s past international students.
The academic year at Tokyo Tech runs from April to March.
The Global Scientists and Engineers Program (GSEP) enables qualified international students with little or no proficiency in the Japanese language to pursue a bachelor of engineering degree at the Institute. GSEP students begin their studies in April. Applications are generally accepted from early August to early September, but be sure to check
GSEP admissions
for each year and the
GSEP website
for application guidelines and other information.
Tokyo Tech’s International Graduate Programs (IGP) provide master’s and doctoral students with an opportunity to pursue advanced degrees in English. IGP students begin their studies in April or September. There are several different IGP categories with varying requirements and admission periods, so be sure to check
the relevant information for each IGP category
or read about
experiences shared by past IGP students
.
Tokyo Tech prepares its students for
a wide range of career options.
Through career counseling and support events, coordinated efforts with the Tokyo Tech Alumni Association, and
career development courses within the curriculum
, the Institute ensures that students make informed decisions about the paths they envision. After graduation, many find employment in academia, industry, and government, and are highly valued by employers globally.
Check out some of our
graduate stories on our department websites.
School of Life Science and Technology
Research Units
Tokyo Tech Research 2017-2018
School of Materials and Chemical Technology - Professor Profiles 2017
School of Engineering
Tokyo Tech Faces and Findings -stories from the lab-
GSEP-Global Scientists and Engineers Program
Overview
Data Book",https://www.topuniversities.com/universities/tokyo-institute-technology#883575
66,University of Nottingham,United Kingdom,"The University of Nottingham is a public research university based in the East Midlands in England, UK, founded in 1881. Ranked joint 84th in the world in the QS World University Rankings® 2018, the University of Nottingham is particularly strong in the following subject areas:
Pharmacy and pharmacology (6th in the QS World University Rankings by Subject)
Education and training (22nd)
Veterinary sciences (29th)
Geography (46th)
English language and literature (49th)",https://www.topuniversities.com/universities/university-nottingham#883575
67,CentraleSupélec,France,"CentraleSupélec (CS) is a French institute of research and higher education in engineering and science. It was established on 1 January 2015 as a result of a strategic merger between two leading grandes écoles in France, Ecole Centrale Paris and Supélec to form one of the most prestigious and selective grandes écoles. It is a key founding member of the University of Paris-Saclay (consortium of research universities in France), the T.I.M.E. (Top Industrial Managers for Europe) network and also the CESAER association of European engineering schools.
The institution delivers the CS engineering degree, masters and PhDs. CS embraces 17 research departments or teams offering a very large scientific spectrum covering all Engineering and System Sciences. Its research aims to contribute to major technological and societal challenges through the progress of knowledge and its impact. 7 keys issues are directly targeted: Health and Bio-Engineering, Energy, Communication systems, Environment and risks, Aeronautics and Transportation, Nano-Science, Business Systems. Amongst nearly 400 researchers, 300 also teach the students, and in so doing delivering the best of their knowledge and expertise.",https://www.topuniversities.com/universities/centralesupelec#883575
67,Universidade de São Paulo,Brazil,"Universidade de São Paulo (USP) is the largest University in Brazil and one of the most prestigious higher education and research institutions in Latin America. Its first school, the Law School was established in 1827 and the University was founded in 1934 upon the unification of several pre-existing schools. USP is located in the state of São Paulo, the richest and most developed region of Brazil, with campuses distributed over eight cities: Bauru, Lorena, Piracicaba, Pirassununga, Ribeirão Preto, São Carlos, Santos and São Paulo. Its academic structure is organized into 42 schools, 6 specialized institutes, and four important museums. USP has quickly achieved a leading role in many different fields as a research centre and is responsible for around 20% of all Brazilian academic output. At the same time, undergraduate and graduate courses have always improved their quality and attracted the best students. As a public university, USP does not charge its students for tuition, and receives over 11,000 new students per year in the undergraduate courses, selected among over than 130,000 applicants. USP has over 90,000 undergraduate and postgraduate students, 5,900 faculty members, 87% of which have a full-time job contract.
......",https://www.topuniversities.com/universities/universidade-de-sao-paulo#883575
67,University of Illinois at Urbana-Champaign,United States,"The US-based University of Illinois at Urbana Champaign was ranked 69th in the world in
QS World University Rankings® 2018
and among the top 200 in the
QS Graduate Employability Rankings 2017
. The university ranks among the top 50 universities in the world for linguistics, computer science and information systems, civil and structural engineering, electrical and electronic engineering, mechanical engineering, agriculture and forestry, psychology, chemistry, environmental studies, materials science, physics and astronomy, and other fields listed
here
.",https://www.topuniversities.com/universities/university-illinois-urbana-champaign#883575
67,"University of North Carolina, Chapel Hill",United States,"The University of North Carolina, Chapel Hill is a public research university based in North Carolina in the US. It is ranked:
80th in the world in the
QS World University Rankings® 2018
Among the top 150 universities in the
QS Graduate Employability Rankings 2017
12th in the world for dentistry in the
QS World University Rankings by Subject
14th in the world for nursing in the
QS World University Rankings by Subject
23rd in the world for sociology in the
QS World University Rankings by Subject
16th in the world for pharmacy and pharmacology in the
QS World University Rankings by Subject
24th in the world for philosophy in the
QS World University Rankings by Subject",https://www.topuniversities.com/universities/university-north-carolina-chapel-hill#883575
70,Osaka University,Japan,"Ranked 17th in the
QS University Rankings: Asia 2016
, Osaka University is the sixth oldest university in Japan, having originally been founded in 1724. The 63rd best university in the world according to the
QS World University Rankings® 2018
, the Japanese university also
ranks
among the top 40 universities in the world for:
Dentistry
Chemical engineering
Physics and astronomy
Natural sciences",https://www.topuniversities.com/universities/osaka-university#883575
71,California Institute of Technology (Caltech),United States,"The California Institute of Technology (Caltech) is a world-renowned science and engineering research and education institution, located in Pasadena, California, around 11 miles northeast of downtown Los Angeles.
Caltech has a high research output as well as many high-quality facilities such as the Jet Propulsion Laboratory (owned by NASA), the Caltech Seismological Laboratory, and the International Observatory Network.  It’s among a small group of institutes of technology in the United States primarily devoted to teaching technical arts and applied sciences, and its fiercely competitive admissions process ensures only a small number of the most gifted students are admitted.
The university was founded as a preparatory and vocational school by Amos G. Throop in 1891, with the mission “to expand human knowledge and benefit society through research integrated with education”. It became a major hub of US scientific research in the early 20th century and was instrumental to the United States’ war effort during World War II.
Today, it is home to the Einstein Papers Project, an initiative seeking to preserve, translate and publish selected papers from the estate of Albert Einstein. It has also established an energy innovation hub that aims to discovery revolutionary methods of generating fuels directly from sunlight.
Caltech’s 124-acre campus is within walking distance of Old Town Pasadena and the Pasadena Playhouse District, and the two locations are frequent getaways for students. Life on campus is rich with social activities, clubs, associations and recreational facilities. Intercollegiate sport is taken very seriously, with the Caltech Beavers (the beaver – nature’s engineer – is the college’s mascot) competing in 13 intercollegiate sports.
Caltech also offers excellent opportunities for the study and performance of music, theater, and the visual arts, all activities that play a vital role in realizing Caltech’s mission to role in realizing the Institute's mission of ""educating outstanding students to become creative members of society"". Providing a touch of grandeur, the Athenaeum is a stately building in the center of the campus where members can go for formal and informal dining, meetings, rendezvous and private parties.
The balance at Caltech between a rigorous academic curriculum and activities that promote personal development ensures time spent there for students is both formative and an invaluable staging post to a successful career.  Although it may lack the reputation of Ivy League universities or the likes of Oxford and Cambridge, Caltech is undoubtedly one of the best universities in the world, a fact reflected in all the university rankings, which regularly single out technology and engineering as the school’s key academic strengths.",https://www.topuniversities.com/universities/california-institute-technology-caltech#883575
71,The University of Auckland,New Zealand,"The University of Auckland
is ranked within the top 100 of the
QS World University Rankings
, making it
New Zealand’s highest ranked university
. It is also the largest and most comprehensive. The University’s student population includes 7,000 international students representing over 120 countries.
The University of Auckland is a recipient of a five star plus
QS Stars University Rating
for excellence in the categories: Research, Employability, Teaching, Facilities, Internationalisation, Innovation and Inclusiveness.
Our home
The University is located in the harbour city of
Auckland
, New Zealand’s economic and cultural hub, with easy access to stunning beaches and rainforests. Auckland is ranked as one of the world's top three cities for quality of living, according to the 2017 Mercer Quality of Living Survey. It is also ranked in the top 30 of the QS Best Student Cities 2017. The University of Auckland has five main campuses, the largest of which is nestled within Auckland's bustling city centre.
Undergraduate Prospectus 2018
Living in Auckland Guide
Postgraduate Prospectus 2018
International Prospectus 2017",https://www.topuniversities.com/universities/university-auckland#883575
73,The Australian National University,Australia,"The Australian National University (ANU) is a world-leading centre for education and research. Ranked #1 in Australia and #22 in the world (QS World University Rankings 2016-17), Australia’s national university is further distinguished by an outstanding record for student satisfaction and graduate employability.
For academic and professional staff, ANU offers excellent conditions including flexible working arrangements, professional development opportunities, competitive pay and generous superannuation - all within an integrated and engaged on-campus community. Learn more about the benefits of working at ANU www.anu.edu.au/jobs",https://www.topuniversities.com/universities/australian-national-university#883575
74,University College Dublin,Ireland,"For over 160 years UCD has stayed true to the vision of its founding rector John Henry Newman, whose The Idea of a University sought to create a university that would “benefit the wider world” whilst encouraging  “true enlargement of mind”.
Today, University College Dublin is one of Europe's leading research-intensive universities and is ranked within the top 1% of higher education institutions world-wide. In the 2018 QS World University Rankings by Subject, Veterinary Science at UCD is ranked 24th in the world and Nursing is 31st. In total, UCD has 12 subjects ranked in the world’s top 100, and 30 in the top 200.
UCD is also Ireland's most globally engaged university with over 7,700 international students among 30,000 students drawn from over 138 countries, including 5,500 students based at locations outside of Ireland. The University's main Dublin campus occupies an extensive parkland estate of more than 130 hectares and offers world-leading facilities including the UCD O'Brien Centre for Science, UCD Sutherland School of Law, UCD Lochlan Quinn School of Business and UCD Student Centre. The campus offers students access to a thriving, English-speaking European capital city, which is among the safest in the world and is renowned for its welcome as much as it is for its vibrancy.
As Ireland's largest university, with its great strength and diversity of disciplines, UCD embraces its role to contribute to the flourishing of Ireland, Europe and the wider world; through the study and discussion of people, society, business, economy, culture, languages and the creative arts, as well as through research and innovation. The University's Strategy 2015-2020 outlines the objectives and major strategic initiatives set in place in order to accomplish UCD's mission and vision for this era.",https://www.topuniversities.com/universities/university-college-dublin#883575
75,The University of Warwick,United Kingdom,"Born out of boldness, imagination and collaboration, the University of Warwick is a world-leading university with the highest academic and research standards.
Our campus in Coventry welcomes over 26,500 students from over 150countries. We’re a constant presence in the rankings of the UK's and the world’s greatest universities, and the 2014 Research Excellence Framework placed us 7th among UK research universities, meaning you’ll learn alongside academics at the cusp of new thinking.
Warwick constantly invests into student services and campus facilities. You'll benefit from excellent support from accommodation help to careers advice, free counselling and health services. You can study in The Oculus, our teaching and learning building, and soon enjoy a new state-of-the-art SportsHub.
Surrounded by peaceful greenery and bustling cities, we have access to a great transport network to travel across the UK and Europe too.
We offer you the potential to follow your ambitions anywhere, if you bring your energy and determination to succeed.",https://www.topuniversities.com/universities/university-warwick#883575
76,KAIST - Korea Advanced Institute of Science & Technology,South Korea,"Formerly known as the Korea Advanced Institute of Science and Technology, KAIST was South Korea’s first research-oriented science and engineering institution when it was founded in 1971.
For such as young university, KAIST’s standing is growing rapidly: it is widely acknowledged as the best university in Korea and has been named the most innovative university in the Asia-Pacific region.
One of its stand-out research projects of recent years saw researchers develop an electric transport system, where vehicles get power from cables underneath the road via non-contact magnetic charging. It’s an example of how KAIST is leading the field in developing new technologies that might tackle world problems such as energy consumption and congestion in cities.
Around 10,000 full-time students attend KAIST, split between 4,000 undergraduates and 6,000 postgraduates. Science, engineering and technology are the school’s main focuses, though the university has branched out in recent years and is now internationally accredited in business education too. It has also adopted dual degree programs with leading world universities such as Carnegie Mellon in the United States and the Technical University of Berlin, and these offer its students diverse educational opportunities.
The university’s main campus is in Daedeok Science Town in the city of Daejeon, 150 kilometers south of the South Korean capital, Seoul. There’s also another campus in Seoul itself, which is home to the business school as well as the graduate schools of finance, management and information and media management.
Most lectures and research activities take place on the Daejeon main campus, which is also where most students live. There is a total of 29 dormitories on the outskirts of the Daedeok campus, strictly segregated along gender lines. There are also apartments for married students outside the campus. Extracurricular activities on campus may not be a priority at KAIST, although there are clubs and societies for students, and the university holds regular arts events including opera, drama, pop concerts, dance and classical recitals.",https://www.topuniversities.com/universities/kaist-korea-advanced-institute-science-technology#883575
78,Technische Universität Darmstadt,Germany,"The Technische Universität (TU) Darmstadt is one of Germany’s leading technical universities. Its professors, employees and students devote their talents and best efforts to the significant future research fields such as cybersecurity, internet and digitalisation, matter and radiation science, thermo-fluids and interfaces, future energy systems and processes from material to product innovation. The wide variety of disciplines represented are all focused on technology, as viewed from the vantage point of engineering, the natural sciences, the humanities, and the social sciences, and cover the full range of academic endeavor, from the origination of basic concepts to practical, everyday applications. Together with Goethe University Frankfurt and Johannes Gutenberg University Mainz, TU Darmstadt has formed the strategic Rhine-Main Universities alliance.",https://www.topuniversities.com/universities/technische-universitat-darmstadt#883575
79,KTH Royal Institute of Technology,Sweden,"KTH Royal Institute of Technology has served as one of Europe’s key centres of innovation and intellectual talent for almost two hundred years. Recognized as Sweden’s most prestigious technical university, KTH is also the country’s oldest and largest. Education and research spans from natural sciences to all the branches of engineering and includes architecture, industrial management and urban planning. The educational programmes lead to Bachelor, Master or PhD degrees in engineering, science, or architecture. With over 18,000 students and an international reputation for excellence, the university continues to nurture the world’s brightest minds, helping to shape the future. With a strong history of groundbreaking research, KTH provides one third of Sweden’s technical and engineering research at university level. The university also secures substantial research funding every year with grants from important organizations like the European Research Council, and plays a central role in the newly formed European Institute of Innovation and Technology (EIT). Students will join over 2,000 people engaged in research at KTH and find a multitude of opportunities to grow in their individual areas of focus. The KTH Campus is located in Stockholm, the Capital of Scandinavia and the home of the Nobel Prize.",https://www.topuniversities.com/universities/kth-royal-institute-technology#883575
79,Sungkyunkwan University (SKKU),South Korea,"Sungkyunkwan University has a long and distinguished history of 607 years. As on e of the most significant institutions in Korea, SKK University has played a role in everything from the development of the Korean alphabet to the teaching of Confucianism the underlying social philosophy of modern Korean society. As a contemporary enter of higher education, SKK University has dedicated itself to the pursuit of excellence. SKK University has two separate campuses: the Humanities and Social Sciences campus in central Seoul, and the Natural Sciences Campus in Suwon.",https://www.topuniversities.com/universities/sungkyunkwan-university-skku#883575
81,National Taiwan University (NTU),Taiwan,"The first president was Dr. Shidehara Tan Tairaka Hiroshi. When Taihoku University was first established, it had two colleges: the College of Liberal Arts and Law, and the College of Science and Agriculture, and had a combined total of 60 students. The College of Medicine and the College of Engineering were added in 1936 and 1943 respectively. The College of Science and Agriculture was also divided into two colleges in 1943: the college of Science, and the college of Agriculture. The college of Agriculture was divided into three sections: the College of Agriculture and Forestry, the College of Medicine, and the Graduate Institute of Tropical Medicine. During Taihoku Imperial University period, every college consisted of ""lectures"", which were conducted by a professor and included assistant professors, assistants, instructors and office employees. In 1945, the five colleges had 114 lectures with 382 students. The College of Liberal Arts and Law had 25 lectures, the College of Medicine had 24, the College of Science had 13, the College of Agriculture had 22, and the College of Engineering had 30. After World War II and Taiwan's retrocession to Chinese Sovereignty, the R.O.C. government resumed the administration of Taihoku University and reorganized and renamed...",https://www.topuniversities.com/universities/national-taiwan-university-ntu#883575
82,Universitat de Barcelona,Spain,"The
Universitat de Barcelona
, founded in 1450, is a comprehensive higher education institution that presents deep academic tradition coupled with frontier scientific knowledge. It is located in the city of Barcelona, one of the main cosmopolitan hubs in the Mediterranean and indeed in Europe. The University of Barcelona’s sixteen centres, clustered into six main campuses, are spread over the city and completely integrated into the urban life. Thus the majority of which are located within the city itself. The city itself becomes the campus of the University.
Being one of the biggest universities in Spain, the University of Barcelona welcomes a large number of students from both Spanish universities and abroad every year. It has over 44.000 undergraduate students and almost 19.000 master and postgraduate students and doctoral candidates. Almost 15% of the students are from overseas and of over 122 different nationalities.
As a public institution, the University of Barcelona, focused on academic excellence, is committed to training and preparing the present and the next generation of global citizens—professionals, researchers, entrepreneurs, leaders—with the capacity to work at the highest level anywhere in the world. At the same time, University of Barcelona’s commitment to research has positioned it first in Spain in International rankings; and as one of the most prestigious universities in the world regarding research impact.
The University of Barcelona has an international vocation, thereby is a member of leading worldwide university networks, including the League of European Research Universities (LERU), the COIMBRA group (CG) and the coordination of the Arab-Euro Conference on Higher Education (AECHE). It has over 2.800 International agreements, including agreements with 82 of the top 200 universities in the world.
Why choose the University of Barcelona?
It is the top-rated Spanish university in the most prestigious international university rankings.
It is among the 25 best universities of the world with more than 400 years of history. It is a leading research university in Europe.
It is situated in Barcelona, one of the best university cities in the World.
It offers a wide range of course offerings:  bachelor’s degree courses, master’s degree courses, doctoral programs and other specific courses and programs.",https://www.topuniversities.com/universities/universitat-de-barcelona#883575
83,Durham University,United Kingdom,"The UK-based Durham University is a public research university situated in the North East of England, UK, founded in 1832. Durham is the joint 78th best university in the world according to the QS World University Rankings® 2018 and ranks among the top 10 universities in the world for:
Theology, divinity and religious studies
Archaeology
Geography
See Durham University’s performance in all QS World University Rankings® by Subject here.",https://www.topuniversities.com/universities/durham-university#883575
85,RMIT University,Australia,"RMIT
is a global university recognised for leadership and innovation in technology, design and enterprise.
We have campuses in Melbourne, Australia as well as two campuses in Vietnam, a centre in Europe (Spain), a representative office in Indonesia, and offer programs through partners in Asia and Europe.
At RMIT you’ll learn from experts in your field of study, while benefiting from our strong industry connections and a curriculum designed to meet the latest industry trends.
Here are some of the ways in which we prepare our graduates to take on the world:
Learn from the best.
At RMIT you’ll learn from experts working at the forefront of their fields and benefit from teachers and lecturers who apply their research discoveries, industry judgement and specialist expertise directly to your programs. We also partner with organisations such as Deloitte, Adidas and BMW to ensure your education is relevant and connected to the needs of industry.
International excellence.
As a QS 5-Star rated institution, RMIT is ranked as one of the world’s leading universities with a strong research record and state-of-the-art facilities and infrastructure. Whether you complete your degree in Australia or on exchange anywhere in the world, we aim to provide students with the best experience possible along with the skills to succeed in their chosen career.
Industry connections.
Over 50% of RMIT programs offer internships, placements and industry work experience at companies ranging from L’Oréal to the United Nations. Our curriculum is designed to let you put theory into practice by working alongside some of the world’s leading organisations and developing the skills employers value most.
Global links.
RMIT is  one of Australia’s top 5 universities for students to go on an international exchange as part of their studies. With campuses in Melbourne and Vietnam as well as access to over 150-plus partner institutions, studying at RMIT puts the world at your fingertips.
Vibrant Community.
When you study at RMIT in Melbourne you are part of a vibrant and welcoming university. RMIT has over 100 student clubs, societies and collectives to choose from which are a great way to meet new friends, develop new skills and connect with people who share your interests. You can even start your own club. RMIT can also provide support to help you find a job, somewhere to live and just generally settle into your new life and succeed at your studies.
Safe, multicultural, and voted the world’s most liveable city seven years in a row  (2017 Economist Intelligence Unit Global Livability Ranking) - Melbourne is a great place to live and study.
RMIT’s City campus is in the heart of Melbourne’s central business district, close to public transport, accommodation and surrounded by a vibrant food and coffee culture. You can explore our beautifully maintained public spaces, a network of laneways, iconic galleries and museums, as well as a lively year-round calendar of sports, music, fashion and cultural events.
Melbourne is a stimulating and exciting city to be in.
Program guide",https://www.topuniversities.com/universities/rmit-university#883575
86,Chalmers University of Technology,Sweden,"Chalmers University of Technology
is a research-intensive university, continuously rated as the best known as well as the best reputed university in Sweden, in annual public surveys. Chalmers also gets top scores on learning by students in the International Students Barometer.
With more than 70 nationalities represented and 40 English taught two-year master’s programmes Chalmers is a highly progressive international university. Out of 10 000 students, 1 000 are international master’s students. Campus life is welcoming, generous and diverse. The location in Gothenburg, Sweden’s second biggest city, on the beautiful west coast makes for great times, studies aside, whether you prefer outdoor life or urban pleasures.
The learning atmosphere is open-minded and informal, encouraging independent thinking and creativity in the tackling of intricate real-life problems with theoretical knowledge – a fertile environment for innovation. With this comes a genuine entrepreneurial spirit, embodied in the subsidiary Chalmers Ventures. Its highly ranked business incubators, are making sure new ideas finds their way to commercial use.
Founded as an industry school for poor children in 1829 Chalmers University of Technology has been deeply rooted in the needs of the industry and committed to societal development ever since.
The spirit of the Chalmers legacy is expressed in the vision – for a sustainable future. A vision, not to be cherished by a chosen few specialising in sustainability matters. Instead, the vision is permeating all activities at the university: research, education, utilisation and daily life on two campuses. Courses addressing environmental issues and sustainability has been integrated in all programmes for more than three decades.
Chalmers University of Technology conducts research in a number of cutting edge infrastructures, such as its clean room, Onsala Space Observatory and AstaZero – the world’s first full-scale test environment for road safety. Europe’s biggest ever research initiative, the Graphene Flagship with a budget of € 1 billion, is coordinated by Chalmers.
As part of a profound commitment to utilisation, Chalmers has strategic partnerships with internationally renowned high-tech companies such as Volvo, Ericsson, SKF and AstraZeneca. The close links to industry and society characterises the education as well as the research conducted at the university, and it provides excellent career opportunities for students.",https://www.topuniversities.com/universities/chalmers-university-technology#883575
87,University of Alberta,Canada,"The University of Alberta is one of Canada’s top universities and among the world’s leading public research-intensive universities, with a reputation for excellence across the humanities, sciences, creative arts, business, engineering, and health sciences. Home to world-leading facilities such as Canada’s National Institute for Nanotechnology and the Li Ka Shing Institute of Virology, the U of A attracts the best and brightest minds from around the globe.
Our students choose from 400 undergraduate, graduate, and professional programs in 18 faculties. We lead the country with the most 3M national teaching fellowships (Canada’s highest award for undergraduate teaching excellence). With over 100 years of history and 250,000 alumni, the U of A is known globally for equipping graduates with the knowledge and skills to be tomorrow’s leaders.
The U of A is located in Edmonton, Alberta, a dynamic city with one million residents and the major hub for Alberta’s thriving energy industry. The main campus, in the centre of Edmonton, is minutes from downtown with bus and subway access through the city.
Home to over 39,000 students, including more than 7,000 international students from 152 countries, the U of A fosters a supportive and multicultural atmosphere within a vibrant research environment.",https://www.topuniversities.com/universities/university-alberta#883575
88,Technische Universität Berlin (TU Berlin),Germany,"The internationally renowned Technische Universität Berlin (TU Berlin) is located in Germany’s capital city at the heart of Europe. With almost 34,500 students, around 100 course offerings and 40 institutes, TU Berlin is one of Germany’s largest technical universities. Apart from the main campus in central Berlin, there are further sites across the city of Berlin and a satellite campus in El Gouna, Egypt.
TU Berlin is a member of TU9, which is the alliance of nine of the largest and most notable German institutes of technology. This membership allows for student exchanges between many of the engineering schools.
The university’s academic activities are focused on achieving four sharply-defined goals: building a distinctive profile for the university, ensuring exceptional performance in research and teaching, providing graduates with excellent qualifications and a modern approach to university administration. Strong regional, national and international networking with partners in science and industry are an important aspect in these endeavors.",https://www.topuniversities.com/universities/technische-universitat-berlin-tu-berlin#883575
89,The Ohio State University,United States,"Ohio State University is an American university founded in 1828 in Columbus, Ohio. One of the largest universities in the US, Ohio State has campuses throughout Ohio in Columbus, Newark, Lima, Marion, Mansfield and Wooster.",https://www.topuniversities.com/universities/ohio-state-university#883575
90,University of Zurich,Switzerland,"Founded in 1833, the University of Zurich is Switzerland's largest university. It is ranked:
As the 73rd best university in the world in the
QS World University Rankings® 2018
Among the top 150 universities in the world for employability in the
QS Graduate Employability Rankings 2017
20th for anatomy and physiology in the
QS World University Rankings by Subject
29th for dentistry in the
QS World University Rankings by Subject
Discover the University of Zurich’s performance in the
QS World University Rankings by Subject
in more detail
here
.",https://www.topuniversities.com/universities/university-zurich#883575
91,Université PSL,France,"Université PSL (Paris Sciences & Lettres) offers an ideal environment for the development of academic excellence, creation and innovation.
Arts, sciences and engineering are at the core of its intellectual and scientific ambition. As a global selective university, rooted in interdisciplinarity and committed to promoting talents and defending equal opportunity, PSL creates the world of tomorrow.
Université PSL : Chimie ParisTech, École nationale des chartes, École normale supérieure, École Pratique des Hautes Études, ESPCI Paris, Institut Curie, MINES ParisTech, Observatoire de Paris, Université Paris-Dauphine.
Associates : Collège de France, Conservatoire national supérieur d’Art dramatique, Conservatoire national supérieur de Musique et de Danse de Paris, École des hautes études en sciences sociales, École française d'Extrême-Orient, École nationale supérieure des Arts Décoratifs, Beaux-Arts de Paris, IBPC-Fondation Edmond de Rothschild, Institut Louis Bachelier, La Fémis.
With the support of : CNRS, Inserm, Inria.",https://www.topuniversities.com/universities/universite-psl#883575
92,Universidad Politécnica de Madrid,Spain,"Although Politécnica de Madrid is a Young university, having been founded only in 1971, most of its Schools are over a hundred years old, dating back of the 18th and 19th centuries and existing independently until they were grouped together as Politécnica de Madrid. It is not an exaggeration to say that much of the history of Spanish technology for over one and half centuries was written by the Schools of Architecture and Engineering of this university, as for many years some of them were the only Technical Schools in existence in their fields in Spain. Almost all the leading Spanish educators and researchers have been involved with Politécnica de Madrid either as students, teachers or both. Three Schools were founded in the 18th century. The School of Architecture, the oldest, was founded in 1752. The Naval and Mining Engineering Schools were established in 1772 and 1777 respectively. The Civil Engineering School was the first School to be founded in the 19th century, in the year 1802. Almost half a century later the School of Industrial Engineering was started in 1850. This School today covers numerous additional fields such as Mechanical, Chemical, Electrical and Nuclear Engineering.",https://www.topuniversities.com/universities/universidad-politecnica-de-madrid#883575
